repeat_index,seed,max_iterations,completion_step,initial_motor_step_error,final_motor_step_error,motor_step_improvement,success_within_500_steps,cost_dollars,run_wall_time_seconds,motor_configurations_seen,llm_responses,method_key,method_label,method_kind
0,20260718,50,10,2186.2005854907275,178.1937148162078,2008.0068706745196,True,0.36033775,167.07812095806003,10,10,gpt_5_6_sol,GPT-5.6 SOL,llm
1,20270691,50,10,3375.000148148145,122.09013064126027,3252.9100175068847,True,0.3519650000000001,189.9109497088939,11,11,gpt_5_6_sol,GPT-5.6 SOL,llm
2,20280664,50,10,1979.1071219112926,271.0073799733136,1708.099741937979,True,0.42808574999999993,208.51537074986845,11,11,gpt_5_6_sol,GPT-5.6 SOL,llm
3,20290637,50,10,2313.4757400932476,101.04454463255303,2212.4311954606947,True,0.39947299999999997,199.6736713750288,10,10,gpt_5_6_sol,GPT-5.6 SOL,llm
4,20300610,50,10,3626.1683634381898,104.10091258005379,3522.067450858136,True,0.3248372500000001,150.5867157499306,10,10,gpt_5_6_sol,GPT-5.6 SOL,llm
5,20310583,50,12,2132.6312386345653,96.82974749528164,2035.8014911392836,True,0.5420345,268.7347082090564,12,12,gpt_5_6_sol,GPT-5.6 SOL,llm
6,20320556,50,10,3185.50780881165,164.98484778912274,3020.5229610225274,True,0.46393475,252.92479999968782,10,10,gpt_5_6_sol,GPT-5.6 SOL,llm
7,20330529,50,11,1843.9023835333583,236.5924766344019,1607.3099068989563,True,0.41450475000000003,193.61474883323535,11,11,gpt_5_6_sol,GPT-5.6 SOL,llm
8,20340502,50,11,2943.0304109879667,62.03224967708329,2880.9981613108835,True,0.401007,192.40544929122552,11,11,gpt_5_6_sol,GPT-5.6 SOL,llm
9,20350475,50,10,4095.0877890467746,130.5526713629407,3964.535117683834,True,0.4124102499999999,226.71933595789596,11,11,gpt_5_6_sol,GPT-5.6 SOL,llm
0,20260718,50,7,2186.2005854907275,421.3703833920937,1764.830202098634,True,0.13294395,68.12012499989942,7,7,gemini_3_5_flash,Gemini 3.5 Flash,llm
1,20270691,50,12,3375.000148148145,11345.000044072278,-7969.999895924133,False,0.3282987,166.7298777080141,12,12,gemini_3_5_flash,Gemini 3.5 Flash,llm
